course_id,department,enroll,weekdays,start,end,location,capacity,instructor
1,CVM,41,MW,12:50 PM,1:40 PM,Room TBA,64,"Liang, Yuying; Goodman-Mamula PhD, Patricia Anne; Reed, Kent"
2,CVM,41,MW,1:55 PM,3:55 PM,Veterinary Science 325,64,"Liang, Yuying; Goodman-Mamula PhD, Patricia Anne; Reed, Kent"
3,CVM,132,TTh,11:45 AM,12:35 PM,Ruttan Hall B45,200,"Foster Hartnett, Dawn Marie; Goodman-Mamula PhD, Patricia Anne"
4,CVM,76,TTh,9:15 AM,11:15 AM,Veterinary Science 325,76,"Foster Hartnett, Dawn Marie; Goodman-Mamula PhD, Patricia Anne"
5,CVM,56,TTh,1:00 PM,3:00 PM,Veterinary Science 325,78,"Foster Hartnett, Dawn Marie; Goodman-Mamula PhD, Patricia Anne"
6,CVM,19,TTh,9:05 AM,9:55 AM,Bruininks Hall 420A,20,"Singh, Ashok K"
7,CVM,19,TTh,10:10 AM,11:00 AM,Bruininks Hall 420A,20,"Singh, Ashok K"
8,CVM,19,Th,6:15 PM,7:55 PM,Bruininks Hall 420A,20,"Singh, Ashok K"
9,CVM,40,TTh,11:45 AM,1:00 PM,Biological Sciences Ctr 64,40,"Willette, Michelle Marie"
10,CVM,20,T,7:00 PM,8:30 PM,Virtual Space NOROOMREQD,20,"Willette, Michelle Marie; Arent, Lori Rae"
11,CVM,11,T,1:55 PM,3:50 PM,Ruttan Hall B42,50,"Craft PhD, Meggan E"
12,CVM,2,M,3:30 PM,5:30 PM,Moos Health Sci Tower 2-118,3,"Hedberg, Craig W; Wells, Scott J"
13,CVM,21,TTh,9:45 AM,11:00 AM,Mayo Bldg & Additions D199,40,"Beaudoin, Amanda Leigh; Wolf, Tiffany Marie"
14,CVM,8,T,1:00 PM,3:00 PM,Veterinary Science 215,30,"Godden, Sandra Michele"
15,CVM,9,TTh,10:30 AM,12:00 PM,Veterinary Science 215,15,"Rendahl, Aaron"
16,CVM,3,F,12:00 PM,1:00 PM,AHC ROOM TBA,10,"Hamilton, Karin Elizabeth"
17,CVM,13,Th,1:00 PM,2:30 PM,Veterinary Science 215,11,"Crooker, Brian A; Rutherford, Mark Stephen"
18,CVM,2,F,3:00 PM,4:00 PM,Animal Science / Vet Med 385J,10,"Torremorell, Montse"
19,CVM,13,Th,12:00 PM,1:00 PM,Veterinary Science 215,18,"Rutherford, Mark Stephen"
20,CLA,20,TTh,9:45 AM,11:00 AM,Blegen Hall 335,20,"Williamson, Terrion LaShon"
21,CLA,11,MWF,10:10 AM,11:00 AM,Blegen Hall 430,20,"Coifman, Victoria Bomba"
22,CLA,9,MWF,1:25 PM,2:15 PM,Blegen Hall 210,20,"Coifman, Victoria Bomba"
23,CLA,24,MW,1:00 PM,2:15 PM,Blegen Hall 430,25,"Brewer, Rose Marie"
24,CLA,25,MW,9:45 AM,11:00 AM,Blegen Hall 140,25,"Williams, Yolanda Y."
25,CLA,11,TTh,9:45 AM,11:00 AM,Blegen Hall 240,10,"Payne, Gabriale Lynn"
26,CLA,13,MW,11:15 AM,12:30 PM,Blegen Hall 115,25,"Githire, Njeri"
27,CLA,10,TTh,11:15 AM,1:10 PM,Blegen Hall 330,10,"Mills, Nathaniel Francis"
28,CLA,27,TTh,11:15 AM,12:30 PM,Blegen Hall 335,30,"Schaffauser, Agnes"
29,CLA,25,MW,9:45 AM,11:00 AM,Blegen Hall 115,25,"Githire, Njeri"
30,CLA,35,W,6:00 PM,8:45 PM,Blegen Hall 255,45,"Mayes, Keith A"
31,CLA,12,M,4:00 PM,6:45 PM,Blegen Hall 430,15,"Brewer, Rose Marie"
32,CLA,2,TTh,9:45 AM,11:00 AM,Ford Hall 400,5,"Isoke, Zenzele"
33,CLA,7,Th,6:00 PM,8:45 PM,Blegen Hall 430,10,"Mayes, Keith A; Oertel, Jacob Daniel"
